																Vergleich der Annotator:innen										Vergleich der Annotator:innen mit Goldstandard von Alina			
äußerst	O	äußerst	0	äußerst	2	0	2	äußerst	2	äußerst	0	2	2	äußerst	2	nÜ	nÜ	nÜ	nÜ	Ü	nÜ	nÜ	Ü	Ü	nÜ	nÜ	Ü	Ü	Ü
gutmütigen	O	gutmütigen	2	gutmütigen	2	0	2	gutmütigen	2	gutmütigen	0	2	2	gutmütigen	2	nÜ	Ü	nÜ	nÜ	Ü	nÜ	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Art	O	Art	0	Art	1	0	1	Art	1	Art	0	1	1	Art	1	nÜ	nÜ	nÜ	nÜ	Ü	nÜ	nÜ	Ü	Ü	nÜ	nÜ	Ü	Ü	Ü
den	O	den	0	den	0	0	0	den	0	den	0	0	0	den	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Stand	O	Stand	0	Stand	0	0	0	Stand	0	Stand	0	0	0	Stand	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
der	O	der	0	der	0	0	0	der	0	der	0	0	0	der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Waldungen	O	Waldungen	0	Waldungen	0	0	0	Waldungen	0	Waldungen	0	0	0	Waldungen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zu	O	zu	0	zu	1	0	1	zu	1	zu	1	1	1	zu	1	nÜ	nÜ	nÜ	nÜ	Ü	Ü	Ü	Ü	Ü	nÜ	nÜ	Ü	Ü	Ü
loben	character_sound	loben	1	l0ben	1	1	1	l0ben	1	l0ben	1	1	1	l0ben	1	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
»	O	»	0	»	0	0	0	»	0	»	0	0	0	»	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Das	O	Das	0	Das	0	0	0	Das	0	Das	0	0	0	Das	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ist	O	ist	0	ist	0	0	0	ist	0	ist	0	0	0	ist	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ein	O	ein	0	ein	0	0	0	ein	0	ein	0	0	0	ein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Unterschied	O	Unterschied	0	Unterschied	0	0	0	Unterschied	0	Unterschied	0	0	0	Unterschied	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
«	O	«	0	«	0	0	0	«	0	«	0	0	0	«	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sagte	character_sound	sagte	1	sagte	1	1	1	sagte	1	sagte	1	1	1	sagte	1	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
er	O	er	0	er	0	0	0	er	0	er	0	0	0	er	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
»	O	»	0	»	0	0	0	»	0	»	0	0	0	»	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zwischen	O	zwischen	0	zwischen	0	0	0	zwischen	0	zwischen	0	0	0	zwischen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
den	O	den	0	den	0	0	0	den	0	den	0	0	0	den	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
meinigen	O	meinigen	0	meinigen	0	0	0	meinigen	0	meinigen	0	0	0	meinigen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
den	O	den	0	den	0	0	0	den	0	den	0	0	0	den	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
fürstlichen	O	fürstlichen	0	fürstlichen	0	0	0	fürstlichen	0	fürstlichen	0	0	0	fürstlichen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
wo	O	wo	0	w0	0	0	0	w0	0	w0	0	0	0	w0	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
wir	O	wir	0	wir	0	0	0	wir	0	wir	0	0	0	wir	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
im	O	im	0	im	0	0	0	im	0	im	0	0	0	im	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Herbst	O	Herbst	0	Herbst	0	0	0	Herbst	0	Herbst	0	0	0	Herbst	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
gejagt	O	gejagt	0	gejagt	0	0	0	gejagt	0	gejagt	0	0	0	gejagt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
haben	O	haben	0	haben	0	0	0	haben	0	haben	0	0	0	haben	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
«	O	«	0	«	0	0	0	«	0	«	0	0	0	«	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Man	O	Man	0	Man	0	0	0	Man	0	Man	0	0	0	Man	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
rauchte	O	rauchte	0	rauchte	0	0	0	rauchte	0	rauchte	0	0	0	rauchte	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
;	O	;	0	;	0	0	0	;	0	;	0	0	0	;	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Gräfin	O	Gräfin	0	Gräfin	0	0	0	Gräfin	0	Gräfin	0	0	0	Gräfin	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sich	O	sich	0	sich	0	0	0	sich	0	sich	0	0	0	sich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
größte	O	größte	0	größte	0	0	0	größte	0	größte	0	0	0	größte	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Zigarre	O	Zigarre	0	Zigarre	0	0	0	Zigarre	0	Zigarre	0	0	0	Zigarre	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
angebrannt	O	angebrannt	0	angebrannt	0	0	0	angebrannt	0	angebrannt	0	0	0	angebrannt	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hatte	O	hatte	0	hatte	0	0	0	hatte	0	hatte	0	0	0	hatte	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sprang	O	sprang	0	sprang	0	0	0	sprang	0	sprang	0	0	0	sprang	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
plötzlich	O	plötzlich	0	plötzlich	0	0	0	plötzlich	0	plötzlich	0	0	0	plötzlich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
auf	O	auf	0	auf	0	0	0	auf	0	auf	0	0	0	auf	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
lief	O	lief	0	lief	0	0	0	lief	0	lief	0	0	0	lief	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zum	O	zum	0	zum	0	0	0	zum	0	zum	0	0	0	zum	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Fenster	O	Fenster	0	Fenster	0	0	0	Fenster	0	Fenster	0	0	0	Fenster	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
öffnete	O	öffnete	0	öffnete	0	0	0	öffnete	0	öffnete	0	0	0	öffnete	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
es	O	es	0	es	0	0	0	es	0	es	0	0	0	es	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
weit	O	weit	0	weit	0	0	0	weit	0	weit	0	0	0	weit	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sprach	character_sound	sprach	1	sprach	1	1	1	sprach	1	sprach	1	1	1	sprach	1	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	nÜ
dampfend	sound_quality	dampfend	0	dampfend	2	2	2	dampfend	2	dampfend	0	2	0	dampfend	2	nÜ	nÜ	Ü	Ü	Ü	nÜ	nÜ	nÜ	nÜ	nÜ	nÜ	Ü	Ü	Ü
wie	O	wie	0	wie	0	0	0	wie	0	wie	0	0	0	wie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ein	O	ein	0	ein	0	0	0	ein	0	ein	0	0	0	ein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	nÜ
Schlötchen	O	Schlötchen	0	Schlötchen	1	0	1	Schlötchen	1	Schlötchen	0	1	0	Schlötchen	1	nÜ	nÜ	nÜ	nÜ	Ü	nÜ	nÜ	nÜ	nÜ	nÜ	nÜ	Ü	Ü	Ü
:	O	:	0	:	0	0	0	:	0	:	0	0	0	:	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
»	O	»	0	»	0	0	0	»	0	»	0	0	0	»	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Alles	O	Alles	0	Alles	0	0	0	Alles	0	Alles	0	0	0	Alles	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
gut	O	gut	0	gut	0	0	0	gut	0	gut	0	0	0	gut	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
bei	O	bei	0	bei	0	0	0	bei	0	bei	0	0	0	bei	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ihnen	O	Ihnen	0	Ihnen	0	0	0	Ihnen	0	Ihnen	0	0	0	Ihnen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
mein	O	mein	0	mein	0	0	0	mein	0	mein	0	0	0	mein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
lieber	O	lieber	0	lieber	0	0	0	lieber	0	lieber	0	0	0	lieber	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Herr	O	Herr	0	Herr	0	0	0	Herr	0	Herr	0	0	0	Herr	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ruppert	O	Ruppert	0	Ruppert	0	0	0	Ruppert	0	Ruppert	0	0	0	Ruppert	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
nur	O	nur	0	nur	0	0	0	nur	0	nur	0	0	0	nur	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ihre	O	Ihre	0	Ihre	0	0	0	Ihre	0	Ihre	0	0	0	Ihre	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Leute	O	Leute	0	Leute	0	0	0	Leute	0	Leute	0	0	0	Leute	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
nicht	O	nicht	0	nicht	0	0	0	nicht	0	nicht	0	0	0	nicht	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Die	O	Die	0	Die	0	0	0	Die	0	Die	0	0	0	Die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Hausdiener	O	Hausdiener	0	Hausdiener	0	0	0	Hausdiener	0	Hausdiener	0	0	0	Hausdiener	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
feuern	O	feuern	0	feuern	0	0	0	feuern	0	feuern	0	0	0	feuern	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
einen	O	einen	0	einen	0	0	0	einen	0	einen	0	0	0	einen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
aus	O	aus	0	aus	0	0	0	aus	0	aus	0	0	0	aus	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
dem	O	dem	0	dem	0	0	0	dem	0	dem	0	0	0	dem	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Zimmer	O	Zimmer	0	Zimmer	0	0	0	Zimmer	0	Zimmer	0	0	0	Zimmer	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
und	O	und	0	und	0	0	0	und	0	und	0	0	0	und	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ihre	O	Ihre	0	Ihre	0	0	0	Ihre	0	Ihre	0	0	0	Ihre	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Jäger	O	Jäger	0	Jäger	0	0	0	Jäger	0	Jäger	0	0	0	Jäger	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
–	O	–	0	–	0	0	0	–	0	–	0	0	0	–	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
eine	O	eine	0	eine	0	0	0	eine	0	eine	0	0	0	eine	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Sippschaft	O	Sippschaft	0	Sippschaft	0	0	0	Sippschaft	0	Sippschaft	0	0	0	Sippschaft	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
…	O	…	0	…	0	0	0	…	0	…	0	0	0	…	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
mein	O	mein	0	mein	0	0	0	mein	0	mein	0	0	0	mein	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Großvater	O	Großvater	0	Gr0ßvater	0	0	0	Gr0ßvater	0	Gr0ßvater	0	0	0	Gr0ßvater	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
würde	O	würde	0	würde	0	0	0	würde	0	würde	0	0	0	würde	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sagen	O	sagen	1	sagen	1	0	0	sagen	0	sagen	0	0	0	sagen	0	nÜ	Ü	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	nÜ	Ü	Ü	Ü
:	O	:	0	:	0	0	0	:	0	:	0	0	0	:	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
›	O	›	0	›	0	0	0	›	0	›	0	0	0	›	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Wie	O	Wie	0	Wie	0	0	0	Wie	0	Wie	0	0	0	Wie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
wenn	O	wenn	0	wenn	0	0	0	wenn	0	wenn	0	0	0	wenn	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
s	O	s	0	s	0	0	0	s	0	s	0	0	0	s	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Tauben	O	Tauben	0	Tauben	0	0	0	Tauben	0	Tauben	0	0	0	Tauben	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
zusammengetragen	O	zusammengetragen	0	zusammengetragen	0	0	0	zusammengetragen	0	zusammengetragen	0	0	0	zusammengetragen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hätten	O	hätten	0	hätten	0	0	0	hätten	0	hätten	0	0	0	hätten	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
‹«	O	‹«	0	‹«	0	0	0	‹«	0	‹«	0	0	0	‹«	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
»	O	»	0	»	0	0	0	»	0	»	0	0	0	»	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Ja	O	Ja	0	Ja	0	0	0	Ja	0	Ja	0	0	0	Ja	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ja	O	ja	0	ja	0	0	0	ja	0	ja	0	0	0	ja	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sie	O	sie	0	sie	0	0	0	sie	0	sie	0	0	0	sie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hat	O	hat	0	hat	0	0	0	hat	0	hat	0	0	0	hat	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
recht	O	recht	0	recht	0	0	0	recht	0	recht	0	0	0	recht	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
«	O	«	0	«	0	0	0	«	0	«	0	0	0	«	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
sagte	character_sound	sagte	1	sagte	1	1	1	sagte	1	sagte	1	1	1	sagte	1	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
der	O	der	0	der	0	0	0	der	0	der	0	0	0	der	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Graf	O	Graf	0	Graf	0	0	0	Graf	0	Graf	0	0	0	Graf	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
,	O	,	0	,	0	0	0	,	0	,	0	0	0	,	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
»	O	»	0	»	0	0	0	»	0	»	0	0	0	»	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
ich	O	ich	0	ich	0	0	0	ich	0	ich	0	0	0	ich	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
hab	O	hab	0	hab	0	0	0	hab	0	hab	0	0	0	hab	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
mir	O	mir	0	mir	0	0	0	mir	0	mir	0	0	0	mir	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
heut	O	heut	0	heut	0	0	0	heut	0	heut	0	0	0	heut	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
das	O	das	0	das	0	0	0	das	0	das	0	0	0	das	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Jagdpersonal	O	Jagdpersonal	0	Jagdpers0nal	0	0	0	Jagdpers0nal	0	Jagdpers0nal	0	0	0	Jagdpers0nal	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
betrachtet	O	betrachtet	0	betrachtet	0	0	0	betrachtet	0	betrachtet	0	0	0	betrachtet	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
.	O	.	0	.	0	0	0	.	0	.	0	0	0	.	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Diese	O	Diese	0	Diese	0	0	0	Diese	0	Diese	0	0	0	Diese	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
Menschen	O	Menschen	0	Menschen	0	0	0	Menschen	0	Menschen	0	0	0	Menschen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
schauen	O	schauen	0	schauen	0	0	0	schauen	0	schauen	0	0	0	schauen	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
aus	O	aus	0	aus	0	0	0	aus	0	aus	0	0	0	aus	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
wie	O	wie	0	wie	0	0	0	wie	0	wie	0	0	0	wie	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
die	O	die	0	die	0	0	0	die	0	die	0	0	0	die	0	nÜ	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü	Ü
